807X ;28X ;0.20005X ;0.010029X ;0.123203X ;3.27265e-06X ;71
529X ;20X ;0.200003X ;0.010013X ;0.12278X ;3.27789e-06X ;80
977X ;30X ;0.200323X ;0.0101329X ;0.125939X ;3.23911e-06X ;12
454X ;49X ;0.200014X ;0.0100335X ;0.12329X ;3.2712e-06X ;11
359X ;20X ;0.200004X ;0.0100067X ;0.122626X ;3.27996e-06X ;78
539X ;23X ;0.200006X ;0.0100015X ;0.122501X ;3.28166e-06X ;22
944X ;34X ;0.200027X ;0.010009X ;0.122697X ;3.2792e-06X ;20
630X ;19X ;0.200051X ;0.0100048X ;0.122608X ;3.28059e-06X ;78
625X ;22X ;0.200007X ;0.0100178X ;0.122901X ;3.27631e-06X ;73
318X ;22X ;0.200027X ;0.0100025X ;0.122537X ;3.28134e-06X ;72
531X ;41X ;0.200401X ;0.0100039X ;0.1228X ;3.28088e-06X ;12
270X ;30X ;0.200009X ;0.0100007X ;0.122482X ;3.28194e-06X ;78
958X ;31X ;0.200341X ;0.010011X ;0.122938X ;3.27855e-06X ;80
909X ;25X ;0.200001X ;0.01X ;0.122461X ;3.28215e-06X ;78
416X ;25X ;0.200007X ;0.0100077X ;0.122653X ;3.27962e-06X ;14
312X ;32X ;0.20001X ;0.0100024X ;0.122524X ;3.28138e-06X ;66
665X ;22X ;0.200013X ;0.0100015X ;0.122505X ;3.28166e-06X ;78
353X ;10X ;0.200141X ;0.0100011X ;0.122574X ;3.28178e-06X ;12
783X ;47X ;0.200024X ;0.0100135X ;0.122805X ;3.27774e-06X ;14
390X ;29X ;0.200003X ;0.0100118X ;0.12275X ;3.2783e-06X ;14
824X ;30X ;0.20005X ;0.0100008X ;0.122509X ;3.28191e-06X ;80
329X ;20X ;0.20003X ;0.0100043X ;0.122584X ;3.28074e-06X ;80
680X ;19X ;0.200027X ;0.0100016X ;0.122515X ;3.28163e-06X ;74
315X ;49X ;0.200022X ;0.01X ;0.122474X ;3.28215e-06X ;78
792X ;11X ;0.200005X ;0.0100012X ;0.122492X ;3.28176e-06X ;76
