-4.13046X ;6.66445X ;0.999993x ;3.00001x ;9,22635e-11; x ;1x ;128x ;0.999999x ;3x ;2,42273e-12; x ;1x ;42x ;0.999984x ;3.00001x ;4,78438e-10; x ;1x ;248x ;248x 
-5.66414X ;-6.47604X ;1.00001x ;2.99999x ;9,57705e-11; x ;1x ;117x ;1x ;3x ;2,37944e-12; x ;1x ;40x ;0.999989x ;2.99998x ;3,39875e-09; x ;1x ;260x ;260x 
-2.26441X ;-3.22489X ;1.00001x ;2.99999x ;8,59891e-11; x ;1x ;118x ;1x ;3x ;2,55872e-12; x ;1x ;40x ;0.999991x ;2.99998x ;3,30148e-09; x ;1x ;250x ;250x 
-4.35613X ;3.02813X ;0.999993x ;3.00001x ;9,91731e-11; x ;1x ;123x ;0.999999x ;3x ;2,97929e-12; x ;1x ;41x ;0.99998x ;3x ;1,91487e-09; x ;1x ;245x ;245x 
-3.77373X ;8.48616X ;0.999994x ;3.00001x ;8,23803e-11; x ;1x ;130x ;0.999999x ;3x ;2,64196e-12; x ;1x ;42x ;0.999987x ;3.00001x ;3,99491e-10; x ;1x ;251x ;251x 
5.37621X ;1.93326X ;1.00001x ;2.99999x ;8,20912e-11; x ;1x ;124x ;1x ;3x ;2,64314e-12; x ;1x ;41x ;1.00002x ;3x ;1,1739e-09; x ;1x ;242x ;242x 
-3.53456X ;-4.80682X ;1.00001x ;2.99999x ;8,50941e-11; x ;1x ;119x ;1x ;3x ;3,16278e-12; x ;1x ;40x ;0.99999x ;2.99998x ;3,33358e-09; x ;1x ;255x ;255x 
-2.66555X ;-7.56234X ;1.00001x ;2.99999x ;8,64752e-11; x ;1x ;126x ;1x ;3x ;2,81603e-12; x ;1x ;42x ;0.999994x ;2.99998x ;2,70093e-09; x ;1x ;260x ;260x 
7.30794X ;-2.47826X ;1.00001x ;2.99999x ;8,80583e-11; x ;1x ;131x ;1x ;3x ;3,49446e-12; x ;1x ;42x ;1.00001x ;2.99999x ;3,87982e-10; x ;1x ;254x ;254x 
0.700433X ;-0.162379X ;1.00001x ;2.99999x ;9,927e-11; x ;1x ;117x ;1x ;3x ;4,07549e-12; x ;1x ;39x ;0.999998x ;2.99998x ;2,17924e-09; x ;1x ;235x ;235x 
2.62637X ;-7.28255X ;1.00001x ;2.99999x ;8,99015e-11; x ;1x ;131x ;1x ;3x ;2,96616e-12; x ;1x ;43x ;1x ;2.99998x ;1,44775e-09; x ;1x ;258x ;258x 
6.30278X ;8.27608X ;1.00001x ;2.99999x ;9,18061e-11; x ;1x ;73x ;1x ;3x ;3,59451e-12; x ;1x ;28x ;1.00001x ;3.00001x ;3,30629e-09; x ;1x ;252x ;252x 
-7.08628X ;-4.69023X ;0.999994x ;3.00001x ;8,43316e-11; x ;1x ;99x ;0.999999x ;3x ;2,28001e-12; x ;1x ;35x ;0.999986x ;2.99999x ;3,58629e-09; x ;1x ;259x ;259x 
1.26602X ;4.91718X ;0.999993x ;3.00001x ;9,47075e-11; x ;1x ;112x ;0.999999x ;3x ;3,03359e-12; x ;1x ;38x ;1x ;3.00002x ;2,38966e-09; x ;1x ;225x ;225x 
-1.68419X ;-6.58294X ;1.00001x ;2.99999x ;8,65245e-11; x ;1x ;126x ;1x ;3x ;2,72669e-12; x ;1x ;42x ;0.999995x ;2.99998x ;2,7554e-09; x ;1x ;257x ;257x 
9.49143X ;-8.13809X ;1.00001x ;2.99999x ;8,51662e-11; x ;1x ;136x ;1x ;3x ;2,41719e-12; x ;1x ;44x ;1.00001x ;2.99998x ;4,29749e-10; x ;1x ;264x ;264x 
-8.99916X ;8.50826X ;0.999994x ;3.00001x ;8,10133e-11; x ;1x ;134x ;0.999999x ;3x ;4,09475e-12; x ;1x ;43x ;0.999983x ;3.00001x ;6,09682e-10; x ;1x ;260x ;260x 
-9.47725X ;1.26862X ;0.999993x ;3.00001x ;9,12373e-11; x ;1x ;128x ;0.999999x ;3x ;4,09956e-12; x ;1x ;42x ;0.999981x ;3x ;2,26992e-09; x ;1x ;259x ;259x 
-3.01924X ;-3.36907X ;1.00001x ;2.99999x ;8,25697e-11; x ;1x ;116x ;1x ;3x ;3,47573e-12; x ;1x ;39x ;0.99999x ;2.99998x ;3,20638e-09; x ;1x ;252x ;252x 
1.25497X ;6.55029X ;0.999993x ;3.00001x ;8,62975e-11; x ;1x ;119x ;0.999999x ;3x ;2,56179e-12; x ;1x ;40x ;1x ;3.00002x ;2,15915e-09; x ;1x ;237x ;237x 
3.50482X ;-4.35469X ;1.00001x ;2.99999x ;9,39211e-11; x ;1x ;129x ;1x ;3x ;3,91012e-12; x ;1x ;42x ;1.00001x ;2.99998x ;1,014e-09; x ;1x ;252x ;252x 
5.4209X ;2.11748X ;1.00001x ;2.99999x ;9,62177e-11; x ;1x ;123x ;1x ;3x ;2,56899e-12; x ;1x ;41x ;1.00002x ;3x ;1,28935e-09; x ;1x ;242x ;242x 
6.47247X ;-9.25562X ;1.00001x ;2.99999x ;8,57603e-11; x ;1x ;135x ;1x ;3x ;2,58511e-12; x ;1x ;44x ;1.00001x ;2.99998x ;7,73571e-10; x ;1x ;263x ;263x 
3.56516X ;8.62001X ;0.999993x ;3.00001x ;9,1558e-11; x ;1x ;118x ;0.999999x ;3x ;2,67629e-12; x ;1x ;40x ;1.00001x ;3.00002x ;3,0297e-09; x ;1x ;248x ;248x 
0.161716X ;-8.90541X ;1.00001x ;2.99999x ;9,58532e-11; x ;1x ;130x ;1x ;3x ;2,95276e-12; x ;1x ;43x ;0.999999x ;2.99998x ;2,0655e-09; x ;1x ;261x ;261x 
6.74569X ;-6.98777X ;1.00001x ;2.99999x ;8,33923e-11; x ;1x ;134x ;1x ;3x ;4,14727e-12; x ;1x ;43x ;1.00001x ;2.99998x ;5,9163e-10; x ;1x ;260x ;260x 
-0.928901X ;1.14335X ;0.999994x ;3.00001x ;8,17485e-11; x ;1x ;83x ;0.999999x ;3x ;3,55372e-12; x ;1x ;30x ;0.999986x ;2.99999x ;3,29453e-09; x ;1x ;232x ;232x 
5.51568X ;-6.66867X ;1.00001x ;2.99999x ;8,3678e-11; x ;1x ;133x ;1x ;3x ;3,59585e-12; x ;1x ;43x ;1.00001x ;2.99998x ;7,04654e-10; x ;1x ;259x ;259x 
0.330961X ;5.99695X ;0.999993x ;3.00001x ;8,65107e-11; x ;1x ;120x ;0.999999x ;3x ;2,66029e-12; x ;1x ;40x ;0.999996x ;3.00002x ;1,29433e-09; x ;1x ;234x ;234x 
